Logging to logs/PPO_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 680      |
|    ep_rew_mean     | -12.4    |
| time/              |          |
|    fps             | 5541     |
|    iterations      | 1        |
|    time_elapsed    | 11       |
|    total_timesteps | 65536    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 777          |
|    ep_rew_mean          | -12.4        |
| time/                   |              |
|    fps                  | 3075         |
|    iterations           | 2            |
|    time_elapsed         | 42           |
|    total_timesteps      | 131072       |
| train/                  |              |
|    approx_kl            | 0.0032690833 |
|    clip_fraction        | 0.0396       |
|    clip_range           | 0.15         |
|    entropy_loss         | -0.953       |
|    explained_variance   | -0.0112      |
|    learning_rate        | 0.00025      |
|    loss                 | 0.281        |
|    n_updates            | 4            |
|    policy_gradient_loss | -0.00322     |
|    value_loss           | 0.825        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 784         |
|    ep_rew_mean          | -12.1       |
| time/                   |             |
|    fps                  | 2923        |
|    iterations           | 3           |
|    time_elapsed         | 67          |
|    total_timesteps      | 196608      |
| train/                  |             |
|    approx_kl            | 0.005036871 |
|    clip_fraction        | 0.0813      |
|    clip_range           | 0.15        |
|    entropy_loss         | -0.956      |
|    explained_variance   | -0.0477     |
|    learning_rate        | 0.00025     |
|    loss                 | 0.185       |
|    n_updates            | 8           |
|    policy_gradient_loss | -0.00506    |
|    value_loss           | 0.702       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 822        |
|    ep_rew_mean          | -11.6      |
| time/                   |            |
|    fps                  | 2932       |
|    iterations           | 4          |
|    time_elapsed         | 89         |
|    total_timesteps      | 262144     |
| train/                  |            |
|    approx_kl            | 0.00585471 |
|    clip_fraction        | 0.119      |
|    clip_range           | 0.15       |
|    entropy_loss         | -0.946     |
|    explained_variance   | -0.077     |
|    learning_rate        | 0.00025    |
|    loss                 | 0.301      |
|    n_updates            | 12         |
|    policy_gradient_loss | -0.00476   |
|    value_loss           | 0.689      |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 837          |
|    ep_rew_mean          | -11.3        |
| time/                   |              |
|    fps                  | 2947         |
|    iterations           | 5            |
|    time_elapsed         | 111          |
|    total_timesteps      | 327680       |
| train/                  |              |
|    approx_kl            | 0.0071197636 |
|    clip_fraction        | 0.154        |
|    clip_range           | 0.15         |
|    entropy_loss         | -0.934       |
|    explained_variance   | -0.0761      |
|    learning_rate        | 0.000249     |
|    loss                 | 0.173        |
|    n_updates            | 16           |
|    policy_gradient_loss | -0.00443     |
|    value_loss           | 0.587        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 771         |
|    ep_rew_mean          | -11.2       |
| time/                   |             |
|    fps                  | 2964        |
|    iterations           | 6           |
|    time_elapsed         | 132         |
|    total_timesteps      | 393216      |
| train/                  |             |
|    approx_kl            | 0.008075111 |
|    clip_fraction        | 0.176       |
|    clip_range           | 0.15        |
|    entropy_loss         | -0.922      |
|    explained_variance   | -0.0822     |
|    learning_rate        | 0.000249    |
|    loss                 | 0.126       |
|    n_updates            | 20          |
